Time,Open,High,Low,Close,Vol
20250113T093500,0.746,0.747,0.744,0.745,613400
20250113T094000,0.745,0.749,0.745,0.747,1404200
20250113T094500,0.747,0.748,0.746,0.748,961700
20250113T095000,0.747,0.748,0.747,0.748,270100
20250113T095500,0.749,0.751,0.749,0.751,16500
20250113T100000,0.751,0.751,0.749,0.749,275100
20250113T100500,0.749,0.749,0.749,0.749,150000
20250113T101000,0.751,0.751,0.749,0.749,833300
20250113T101500,0.749,0.749,0.747,0.747,17600
20250113T102000,0.747,0.749,0.746,0.749,518800
20250113T102500,0.748,0.749,0.748,0.749,294000
20250113T103000,0.749,0.749,0.749,0.749,214900
20250113T103500,0.749,0.750,0.749,0.749,140300
20250113T104000,0.750,0.750,0.749,0.749,2000
20250113T104500,0.749,0.750,0.749,0.750,39100
20250113T105000,0.750,0.750,0.750,0.750,28700
20250113T105500,0.751,0.752,0.751,0.751,260100
20250113T110000,0.751,0.751,0.751,0.751,1100
20250113T110500,0.751,0.751,0.751,0.751,29600
20250113T111000,0.750,0.750,0.749,0.750,5700
20250113T111500,0.750,0.750,0.748,0.748,286100
20250113T112000,0.749,0.749,0.749,0.749,139700
20250113T112500,0.749,0.749,0.749,0.749,72600
20250113T113000,0.749,0.749,0.748,0.748,18400
20250113T130500,0.748,0.748,0.747,0.747,292500
20250113T131000,0.747,0.747,0.747,0.747,418100
20250113T131500,0.747,0.748,0.747,0.747,184100
20250113T132000,0.746,0.748,0.746,0.748,878100
20250113T132500,0.748,0.749,0.748,0.748,493400
20250113T133000,0.748,0.748,0.747,0.747,265800
20250113T133500,0.747,0.748,0.747,0.747,337600
20250113T134000,0.748,0.748,0.747,0.747,156100
20250113T134500,0.747,0.748,0.747,0.748,29500
20250113T135000,0.747,0.747,0.747,0.747,174100
20250113T135500,0.747,0.748,0.747,0.748,1038600
20250113T140000,0.748,0.748,0.748,0.748,300000
20250113T140500,0.748,0.748,0.748,0.748,10000
20250113T141000,0.748,0.748,0.748,0.748,300
20250113T141500,0.746,0.746,0.746,0.746,100
20250113T142000,0.746,0.746,0.746,0.746,464700
20250113T142500,0.746,0.746,0.746,0.746,37600
20250113T143000,0.746,0.748,0.746,0.747,28600
20250113T143500,0.747,0.748,0.747,0.748,2900
20250113T144000,0.748,0.748,0.747,0.747,17300
20250113T144500,0.747,0.747,0.746,0.746,306700
