time,interest,stockBonus,stockGift,allotNum,allotPrice,gugai,dr
20200511,3.0,0.0,0.0,0.0,0.0,0,0.92096944
20200925,3.0,0.0,0.0,0.0,0.0,0,0.92596249
20210818,2.0,0.0,0.0,0.0,0.0,0,0.88642817
20211109,1.5,0.0,0.0,0.0,0.0,0,0.94170229
20220527,3.7,0.0,0.0,0.0,0.0,0,0.82397716
20220926,3.5,0.0,0.0,0.0,0.0,0,0.80169972
20230602,4.5,0.0,0.0,0.0,0.0,0,0.86020503
20230928,4.5,0.0,0.0,0.0,0.0,0,0.79638009
20240521,3.7,0.0,0.0,0.0,0.0,0,0.77602906
20240524,2.1,0.0,0.0,0.0,0.0,0,0.86390149
20240904,2.1,0.0,0.0,0.0,0.0,0,0.84693878
20241108,2.1,0.0,0.0,0.0,0.0,0,0.87762238
20250521,3.7,0.0,0.0,0.0,0.0,0,0.75496689
20250527,2.1,0.0,0.0,0.0,0.0,0,0.85753053
20250904,2.1,0.0,0.0,0.0,0.0,0,0.89323843
20251106,2.1,0.0,0.0,0.0,0.0,0,0.90956072
20260522,4.0,0.0,0.0,0.0,0.0,0,0.80497318
20260602,2.1,0.0,0.0,0.0,0.0,0,0.89473684
