time,interest,stockBonus,stockGift,allotNum,allotPrice,gugai,dr
20200901,4.0,0.0,0.0,0.0,0.0,0,0.94615695
20210602,6.0,0.0,0.0,0.0,0.0,0,0.93664203
20220608,16.0,0.0,0.0,0.0,0.0,0,0.93715139
20221122,0.0,0.0,4.5,0.0,0.0,0,0.68965517
20230704,15.96,0.0,0.0,0.0,0.0,0,0.91643979
20231117,0.0,0.0,4.5,0.0,0.0,0,0.68965517
20240520,19.96,0.0,4.0,0.0,0.0,0,0.54288462
20241015,8.6,0.0,0.0,0.0,0.0,0,0.83258711
20250610,16.0,0.0,0.0,0.0,0.0,0,0.53284672
20250926,5.0,0.0,0.0,0.0,0.0,0,0.89843591
20260615,8.0,0.0,0.0,0.0,0.0,0,0.86287281
