time,interest,stockBonus,stockGift,allotNum,allotPrice,gugai,dr
20200522,4.25,0.0,0.0,0.0,0.0,0,0.24778761
20210415,3.3,0.0,0.0,0.0,0.0,0,0.40647482
20210907,1.8,0.0,0.0,0.0,0.0,0,0.66972477
20220425,2.5,0.0,0.0,0.0,0.0,0,0.500998
20220908,1.5,0.0,0.0,0.0,0.0,0,0.69818913
20230425,1.5,0.0,0.0,0.0,0.0,0,0.65357968
20231012,1.5,0.0,0.0,0.0,0.0,0,0.65753425
20240618,1.3,0.0,0.0,0.0,0.0,0,0.63380282
20241025,0.9,0.0,0.0,0.0,0.0,0,0.74647887
20250527,1.45,0.0,0.0,0.0,0.0,0,0.58806818
20250912,0.9,0.0,0.0,0.0,0.0,0,0.76863753
20260604,0.6,0.0,0.0,0.0,0.0,0,0.84210526
