time,interest,stockBonus,stockGift,allotNum,allotPrice,gugai,dr
20200630,0.66,0.0,0.0,0.0,0.0,0,0.84433962
20200922,0.87,0.0,0.0,0.0,0.0,0,0.79529412
20210629,0.87,0.0,0.0,0.0,0.0,0,0.83738318
20210917,1.3,0.0,0.0,0.0,0.0,0,0.78151261
20220628,0.96,0.0,0.0,0.0,0.0,0,0.82189239
20220920,2.03,0.0,0.0,0.0,0.0,0,0.62056075
20230628,2.2,0.0,0.0,0.0,0.0,0,0.71539457
20230920,2.1,0.0,0.0,0.0,0.0,0,0.74759615
20240626,2.3,0.0,0.0,0.0,0.0,0,0.77114428
20240919,2.2,0.0,0.0,0.0,0.0,0,0.72704715
20250625,2.5,0.0,0.0,0.0,0.0,0,0.72098214
20250917,2.2,0.0,0.0,0.0,0.0,0,0.74537037
