time,interest,stockBonus,stockGift,allotNum,allotPrice,gugai,dr
20200624,0.5,0.0,0.0,0.0,0.0,0,0.75728155
20210714,0.55,0.0,0.0,0.0,0.0,0,0.87414188
20220617,0.63,0.0,0.0,0.0,0.0,0,0.82644628
20230616,0.4,0.0,0.0,0.0,0.0,0,0.87055016
20240423,1.2,0.0,0.0,0.0,0.0,0,0.66005666
20241011,0.4,0.0,0.0,0.0,0.0,0,0.90543735
20241125,0.4,0.0,0.0,0.0,0.0,0,0.89974937
20250512,0.9,0.0,0.0,0.0,0.0,0,0.7574124
20250925,0.4,0.0,0.0,0.0,0.0,0,0.89583333
20251212,2.58,0.0,0.0,0.0,0.0,0,0.47773279
20260520,1.36,0.0,0.0,0.0,0.0,0,0.74242424
