Time,Open,High,Low,Close,Vol
20250113T093500,0.662,0.663,0.642,0.657,8600
20250113T094000,0.661,0.661,0.660,0.660,301100
20250113T094500,0.659,0.659,0.659,0.659,1000
20250113T095000,0.658,0.658,0.658,0.658,42000
20250113T095500,0.661,0.661,0.661,0.661,300000
20250113T100000,0.660,0.660,0.658,0.658,400100
20250113T100500,0.660,0.661,0.660,0.661,3600
20250113T101000,0.661,0.661,0.661,0.661,21000
20250113T101500,0.659,0.661,0.659,0.661,10000
20250113T102000,0.658,0.660,0.658,0.659,406200
20250113T102500,0.658,0.658,0.658,0.658,3300
20250113T103000,0.660,0.660,0.660,0.660,300000
20250113T103500,0.660,0.660,0.660,0.660,190000
20250113T104500,0.662,0.662,0.662,0.662,2000
20250113T110500,0.661,0.662,0.661,0.662,1200
20250113T111500,0.663,0.663,0.663,0.663,500
20250113T113000,0.661,0.661,0.661,0.661,11000
20250113T130500,0.660,0.660,0.659,0.659,1000
20250113T131000,0.658,0.658,0.658,0.658,13300
20250113T131500,0.659,0.659,0.658,0.658,989200
20250113T132000,0.658,0.659,0.658,0.659,301000
20250113T133000,0.660,0.660,0.660,0.660,600000
20250113T134500,0.659,0.659,0.659,0.659,111900
20250113T135000,0.659,0.659,0.659,0.659,1011900
20250113T135500,0.660,0.660,0.660,0.660,774400
20250113T140000,0.661,0.661,0.661,0.661,217800
20250113T140500,0.662,0.662,0.661,0.661,2100000
20250113T141500,0.660,0.660,0.660,0.660,300300
20250113T142500,0.659,0.659,0.659,0.659,300000
20250113T143000,0.661,0.661,0.661,0.661,200
20250113T143500,0.660,0.661,0.660,0.660,1200000
20250113T144000,0.661,0.661,0.660,0.660,900100
20250113T150000,0.662,0.662,0.662,0.662,1800
20250114T093500,0.661,0.661,0.661,0.661,25300
20250114T094000,0.662,0.662,0.662,0.662,100
20250114T095000,0.665,0.665,0.664,0.664,300600
20250114T095500,0.665,0.666,0.665,0.666,1200
20250114T100000,0.667,0.667,0.667,0.667,300000
20250114T101000,0.666,0.666,0.666,0.666,400
20250114T102000,0.667,0.667,0.667,0.667,100
20250114T103000,0.668,0.668,0.667,0.668,101600
20250114T103500,0.670,0.670,0.670,0.670,1400
20250114T104000,0.670,0.671,0.670,0.671,371000
20250114T104500,0.671,0.671,0.670,0.670,14700
20250114T105500,0.671,0.671,0.671,0.671,400
20250114T110500,0.674,0.674,0.674,0.674,1300
20250114T111000,0.675,0.675,0.675,0.675,300000
20250114T111500,0.675,0.675,0.675,0.675,500
20250114T112000,0.675,0.675,0.675,0.675,1000
20250114T112500,0.675,0.675,0.675,0.675,5000
20250114T113000,0.675,0.675,0.675,0.675,1100
20250114T130500,0.675,0.675,0.674,0.674,605000
20250114T132500,0.675,0.675,0.675,0.675,800
20250114T133000,0.673,0.673,0.673,0.673,100
20250114T133500,0.673,0.673,0.673,0.673,300
20250114T134000,0.673,0.673,0.673,0.673,36600
20250114T134500,0.674,0.674,0.674,0.674,31200
20250114T135000,0.674,0.674,0.674,0.674,4700
20250114T135500,0.675,0.675,0.675,0.675,11800
20250114T140000,0.675,0.675,0.675,0.675,1000
20250114T140500,0.675,0.677,0.675,0.677,5600
20250114T141000,0.678,0.678,0.678,0.678,2200
20250114T142500,0.678,0.678,0.678,0.678,100
20250114T143000,0.675,0.675,0.675,0.675,800
20250114T145000,0.675,0.675,0.675,0.675,100
20250114T150000,0.676,0.678,0.676,0.678,10100
20250115T093500,0.678,0.678,0.676,0.676,98200
20250115T094000,0.673,0.673,0.671,0.671,300
20250115T094500,0.672,0.672,0.671,0.671,34900
20250115T095000,0.672,0.674,0.672,0.674,300100
20250115T095500,0.674,0.674,0.674,0.674,314700
20250115T100000,0.676,0.676,0.674,0.674,301100
20250115T100500,0.673,0.674,0.672,0.672,5800
20250115T102000,0.673,0.673,0.673,0.673,800
20250115T102500,0.673,0.673,0.673,0.673,10000
20250115T105000,0.674,0.674,0.674,0.674,370700
20250115T113000,0.674,0.674,0.674,0.674,3000
20250115T130500,0.675,0.675,0.675,0.675,6500
20250115T131500,0.675,0.675,0.675,0.675,11100
20250115T132500,0.674,0.674,0.674,0.674,200
20250115T142500,0.674,0.674,0.674,0.674,3000
20250115T144000,0.673,0.673,0.673,0.673,200
20250115T144500,0.673,0.673,0.672,0.672,671000
20250115T145000,0.672,0.672,0.672,0.672,89000
20250115T145500,0.673,0.673,0.673,0.673,6000
20250115T150000,0.673,0.673,0.673,0.673,2700
20250116T093500,0.689,0.689,0.677,0.678,64400
20250116T094000,0.680,0.680,0.680,0.680,90100
20250116T094500,0.680,0.680,0.680,0.680,100
20250116T095000,0.682,0.682,0.682,0.682,200
20250116T095500,0.682,0.682,0.682,0.682,300200
20250116T100500,0.681,0.682,0.681,0.682,9800
20250116T101000,0.681,0.681,0.680,0.680,113600
20250116T101500,0.680,0.681,0.680,0.680,22500
20250116T102000,0.680,0.680,0.680,0.680,200000
20250116T102500,0.680,0.680,0.680,0.680,101000
20250116T105000,0.677,0.677,0.675,0.676,12000
