Time,Open,High,Low,Close,Vol
20250113T093500,0.984,0.987,0.982,0.983,371600
20250113T094000,0.985,0.992,0.985,0.986,46700
20250113T094500,0.987,0.988,0.982,0.982,369200
20250113T095000,0.981,0.986,0.980,0.986,561800
20250113T095500,0.984,0.990,0.984,0.990,45700
20250113T100000,0.989,0.989,0.984,0.984,177600
20250113T100500,0.984,0.986,0.983,0.985,198900
20250113T101000,0.985,0.985,0.980,0.980,43800
20250113T101500,0.980,0.980,0.975,0.975,152500
20250113T102000,0.975,0.980,0.974,0.980,619800
20250113T102500,0.978,0.978,0.978,0.978,100
20250113T103000,0.979,0.981,0.979,0.981,24100
20250113T103500,0.982,0.983,0.981,0.981,153300
20250113T104000,0.981,0.984,0.981,0.982,12700
20250113T104500,0.982,0.982,0.982,0.982,1600
20250113T105000,0.981,0.981,0.981,0.981,700
20250113T105500,0.984,0.984,0.982,0.982,41300
20250113T110000,0.982,0.982,0.982,0.982,1500
20250113T110500,0.981,0.981,0.981,0.981,500
20250113T111000,0.980,0.980,0.978,0.978,107700
20250113T111500,0.978,0.978,0.978,0.978,54400
20250113T112000,0.977,0.977,0.976,0.977,22500
20250113T112500,0.977,0.977,0.976,0.976,100600
20250113T113000,0.977,0.977,0.975,0.975,15300
20250113T130500,0.975,0.975,0.972,0.972,91700
20250113T131000,0.972,0.972,0.972,0.972,63900
20250113T131500,0.973,0.973,0.973,0.973,5600
20250113T132000,0.973,0.973,0.973,0.973,4500
20250113T132500,0.975,0.976,0.975,0.976,3100
20250113T133000,0.973,0.974,0.973,0.974,2600
20250113T133500,0.973,0.974,0.973,0.974,900
20250113T134000,0.974,0.974,0.974,0.974,500
20250113T134500,0.974,0.974,0.972,0.974,42900
20250113T135000,0.972,0.972,0.972,0.972,2600
20250113T135500,0.972,0.973,0.972,0.973,34400
20250113T140000,0.974,0.974,0.974,0.974,1000
20250113T140500,0.974,0.974,0.973,0.973,6400
20250113T141000,0.972,0.972,0.972,0.972,7700
20250113T141500,0.972,0.972,0.969,0.969,55200
20250113T142000,0.969,0.969,0.969,0.969,5000
20250113T143000,0.969,0.970,0.969,0.969,24900
20250113T143500,0.970,0.970,0.968,0.970,17100
20250113T144000,0.969,0.969,0.968,0.968,55600
20250113T144500,0.968,0.968,0.966,0.968,77100
20250113T145000,0.967,0.971,0.967,0.971,19500
20250113T145500,0.970,0.971,0.970,0.971,422600
20250113T150000,0.972,0.972,0.972,0.972,81200
20250114T093500,0.971,0.973,0.967,0.969,219000
20250114T094000,0.970,0.970,0.968,0.970,13500
20250114T094500,0.972,0.972,0.969,0.970,51000
20250114T095000,0.970,0.971,0.969,0.971,51900
20250114T095500,0.971,0.974,0.971,0.974,45600
20250114T100000,0.975,0.977,0.975,0.975,114900
20250114T100500,0.975,0.978,0.975,0.978,439700
20250114T101000,0.978,0.979,0.978,0.978,11600
20250114T101500,0.977,0.980,0.977,0.980,152900
20250114T102000,0.981,0.982,0.981,0.981,20600
20250114T102500,0.981,0.985,0.981,0.984,32700
20250114T103000,0.985,0.985,0.985,0.985,100
20250114T103500,0.986,0.986,0.984,0.984,161000
20250114T104000,0.985,0.987,0.985,0.987,24100
20250114T104500,0.988,0.988,0.986,0.987,65700
20250114T105000,0.986,0.991,0.986,0.990,116900
20250114T105500,0.991,0.992,0.991,0.992,112000
20250114T110000,0.993,0.994,0.992,0.994,45600
20250114T110500,0.996,0.996,0.996,0.996,56500
20250114T111000,0.997,0.997,0.995,0.997,238700
20250114T111500,0.997,0.999,0.997,0.999,604200
20250114T112000,0.999,0.999,0.994,0.994,518000
20250114T113000,0.992,0.992,0.992,0.992,50000
