Time,Open,High,Low,Close,Vol
20260105T093500,0.587,0.588,0.586,0.588,10900
20260105T094000,0.588,0.591,0.588,0.591,21400
20260105T094500,0.591,0.592,0.590,0.591,74000
20260105T095000,0.592,0.592,0.592,0.592,18800
20260105T095500,0.592,0.593,0.592,0.593,71700
20260105T100000,0.593,0.594,0.593,0.594,298300
20260105T100500,0.594,0.595,0.594,0.595,126000
20260105T101000,0.595,0.597,0.595,0.597,149600
20260105T101500,0.597,0.598,0.597,0.598,195200
20260105T102000,0.598,0.598,0.597,0.598,66200
20260105T102500,0.599,0.599,0.598,0.599,84400
20260105T103000,0.599,0.599,0.599,0.599,38900
20260105T103500,0.600,0.601,0.600,0.601,159700
20260105T104000,0.601,0.602,0.601,0.602,84000
20260105T104500,0.602,0.603,0.602,0.602,467800
20260105T105000,0.602,0.603,0.602,0.603,137200
20260105T105500,0.602,0.603,0.602,0.603,73500
20260105T110000,0.603,0.603,0.602,0.602,217000
20260105T111000,0.602,0.603,0.602,0.603,9200
20260105T111500,0.603,0.603,0.603,0.603,4400
20260105T112000,0.603,0.604,0.603,0.603,73000
20260105T112500,0.604,0.604,0.604,0.604,5100
20260105T113000,0.604,0.604,0.604,0.604,500
20260105T130500,0.603,0.605,0.603,0.605,241500
20260105T131000,0.605,0.606,0.605,0.605,308600
20260105T131500,0.605,0.606,0.605,0.606,5100
20260105T132000,0.605,0.605,0.605,0.605,43500
20260105T132500,0.604,0.604,0.604,0.604,8700
20260105T133000,0.604,0.604,0.604,0.604,40700
20260105T133500,0.603,0.603,0.603,0.603,20000
20260105T134000,0.603,0.604,0.603,0.604,10200
20260105T134500,0.605,0.605,0.605,0.605,8100
20260105T135000,0.605,0.605,0.604,0.604,11300
20260105T135500,0.604,0.604,0.604,0.604,1300
20260105T140000,0.604,0.606,0.604,0.606,99000
20260105T141500,0.606,0.606,0.606,0.606,12000
20260105T142000,0.606,0.606,0.606,0.606,19400
20260105T142500,0.606,0.606,0.605,0.605,2200
20260105T143000,0.606,0.606,0.605,0.605,5700
20260105T143500,0.605,0.606,0.605,0.605,66374
20260105T144000,0.605,0.606,0.605,0.606,227300
20260105T144500,0.606,0.606,0.606,0.606,300
20260105T145000,0.606,0.607,0.606,0.606,36500
20260105T145500,0.606,0.607,0.606,0.607,1065700
20260105T150000,0.605,0.605,0.605,0.605,14400
20260106T093500,0.607,0.609,0.607,0.608,432100
20260106T094000,0.609,0.610,0.609,0.609,427400
20260106T094500,0.609,0.609,0.608,0.609,434100
20260106T095000,0.608,0.608,0.607,0.607,212300
20260106T095500,0.607,0.608,0.607,0.608,173900
20260106T100000,0.608,0.608,0.607,0.607,65000
20260106T100500,0.607,0.608,0.607,0.608,197000
20260106T101000,0.608,0.609,0.608,0.609,196800
20260106T101500,0.609,0.609,0.608,0.608,51000
20260106T102000,0.609,0.609,0.608,0.608,754000
20260106T103000,0.608,0.608,0.607,0.607,82600
20260106T103500,0.607,0.607,0.607,0.607,500
20260106T104000,0.606,0.606,0.604,0.604,68700
20260106T104500,0.604,0.604,0.604,0.604,76900
20260106T105000,0.604,0.606,0.604,0.606,135800
20260106T105500,0.606,0.606,0.606,0.606,10500
20260106T110000,0.606,0.607,0.606,0.607,27100
20260106T110500,0.608,0.608,0.608,0.608,3100
20260106T111500,0.607,0.607,0.607,0.607,1000
20260106T112000,0.608,0.608,0.608,0.608,216800
20260106T112500,0.609,0.609,0.608,0.609,600
20260106T113000,0.609,0.609,0.609,0.609,5900
20260106T130500,0.609,0.609,0.608,0.608,111100
20260106T131000,0.609,0.609,0.609,0.609,500
20260106T131500,0.608,0.608,0.608,0.608,100
20260106T132500,0.609,0.609,0.609,0.609,183100
20260106T133000,0.610,0.610,0.610,0.610,6400
20260106T133500,0.609,0.609,0.609,0.609,15700
20260106T134000,0.610,0.610,0.609,0.609,9500
20260106T134500,0.608,0.608,0.608,0.608,4000
20260106T135000,0.608,0.608,0.608,0.608,3000
20260106T140000,0.608,0.609,0.608,0.609,102200
20260106T140500,0.609,0.609,0.609,0.609,29000
20260106T141000,0.610,0.610,0.610,0.610,11500
20260106T141500,0.610,0.610,0.610,0.610,87400
20260106T142000,0.610,0.610,0.610,0.610,52000
20260106T142500,0.611,0.611,0.610,0.610,200
20260106T143000,0.610,0.611,0.610,0.611,20000
20260106T143500,0.611,0.611,0.611,0.611,10000
20260106T144000,0.610,0.611,0.610,0.611,16900
20260106T144500,0.611,0.611,0.611,0.611,3300
20260106T145000,0.610,0.610,0.610,0.610,15300
20260106T145500,0.611,0.611,0.611,0.611,3800
20260106T150000,0.611,0.611,0.610,0.610,47800
20260107T093500,0.609,0.615,0.609,0.614,268200
20260107T094000,0.614,0.617,0.614,0.616,1446900
20260107T094500,0.616,0.618,0.616,0.616,1039531
20260107T095000,0.616,0.617,0.616,0.616,222600
20260107T095500,0.616,0.616,0.615,0.616,1098100
20260107T100000,0.616,0.617,0.616,0.616,504700
20260107T100500,0.617,0.617,0.616,0.616,57400
20260107T101000,0.616,0.617,0.616,0.616,35600
20260107T101500,0.616,0.617,0.616,0.617,555100
20260107T102000,0.618,0.618,0.617,0.617,428000
20260107T102500,0.616,0.616,0.614,0.615,15400
20260107T103000,0.613,0.614,0.613,0.614,28100
20260107T103500,0.614,0.616,0.614,0.616,54100
20260107T104000,0.616,0.616,0.616,0.616,94800
20260107T104500,0.616,0.617,0.616,0.617,13800
20260107T105000,0.616,0.616,0.616,0.616,135300
20260107T105500,0.616,0.616,0.616,0.616,400
20260107T110000,0.616,0.616,0.615,0.616,2600
20260107T110500,0.617,0.617,0.616,0.616,107300
20260107T111000,0.616,0.617,0.616,0.617,6500
20260107T111500,0.617,0.617,0.617,0.617,10000
20260107T112000,0.616,0.616,0.616,0.616,200000
20260107T112500,0.616,0.616,0.616,0.616,10000
20260107T113000,0.617,0.617,0.617,0.617,38500
20260107T130500,0.618,0.618,0.617,0.618,155400
20260107T131000,0.618,0.618,0.616,0.617,23700
20260107T131500,0.617,0.617,0.617,0.617,43600
20260107T132000,0.617,0.617,0.617,0.617,400
20260107T132500,0.617,0.618,0.616,0.616,83900
20260107T133000,0.615,0.615,0.615,0.615,21600
20260107T133500,0.614,0.614,0.614,0.614,26600
20260107T134000,0.614,0.614,0.614,0.614,15000
20260107T134500,0.614,0.614,0.614,0.614,20000
20260107T135000,0.613,0.613,0.613,0.613,2100
20260107T135500,0.613,0.613,0.613,0.613,18800
20260107T140000,0.614,0.614,0.614,0.614,13000
20260107T140500,0.614,0.615,0.614,0.615,41400
20260107T141000,0.615,0.616,0.615,0.615,15200
20260107T141500,0.615,0.616,0.615,0.616,30100
20260107T142000,0.616,0.616,0.616,0.616,200000
20260107T142500,0.616,0.616,0.615,0.616,28500
20260107T143000,0.616,0.616,0.616,0.616,3500
20260107T143500,0.615,0.615,0.614,0.614,9200
20260107T144000,0.614,0.615,0.614,0.615,41600
20260107T144500,0.615,0.615,0.615,0.615,3000
20260107T145000,0.615,0.616,0.615,0.616,53100
20260107T145500,0.616,0.616,0.616,0.616,100
20260107T150000,0.615,0.616,0.615,0.615,57800
20260108T093500,0.612,0.619,0.612,0.618,314800
20260108T094000,0.620,0.620,0.617,0.617,118200
20260108T094500,0.617,0.617,0.615,0.615,141700
20260108T095000,0.619,0.619,0.617,0.619,67600
20260108T095500,0.619,0.619,0.618,0.618,21200
20260108T100000,0.619,0.619,0.618,0.618,11200
20260108T100500,0.618,0.619,0.618,0.619,101100
20260108T101500,0.619,0.619,0.619,0.619,1100
20260108T102000,0.618,0.618,0.618,0.618,230534
20260108T102500,0.618,0.620,0.618,0.620,185400
20260108T103000,0.620,0.620,0.620,0.620,66700
20260108T103500,0.620,0.620,0.620,0.620,3800
20260108T104500,0.620,0.620,0.620,0.620,100
20260108T105000,0.620,0.620,0.620,0.620,22900
20260108T105500,0.620,0.621,0.620,0.621,45000
20260108T110000,0.620,0.621,0.620,0.620,39100
20260108T110500,0.620,0.620,0.620,0.620,1200
20260108T111000,0.620,0.621,0.620,0.621,119600
20260108T111500,0.621,0.622,0.621,0.621,43900
20260108T112000,0.620,0.620,0.620,0.620,94600
20260108T112500,0.621,0.621,0.621,0.621,15600
20260108T113000,0.621,0.621,0.621,0.621,1000
20260108T130500,0.621,0.622,0.620,0.622,17900
20260108T131000,0.621,0.622,0.621,0.622,9500
20260108T131500,0.621,0.621,0.621,0.621,9900
20260108T132000,0.621,0.621,0.621,0.621,48217
20260108T132500,0.621,0.621,0.621,0.621,12000
20260108T133500,0.621,0.621,0.620,0.620,48100
20260108T134500,0.620,0.620,0.620,0.620,204200
20260108T135000,0.620,0.620,0.620,0.620,4000
20260108T135500,0.620,0.620,0.620,0.620,53200
20260108T140000,0.620,0.621,0.620,0.620,41500
20260108T141000,0.621,0.621,0.620,0.620,118300
20260108T141500,0.620,0.620,0.618,0.618,176800
20260108T142000,0.617,0.618,0.617,0.618,5700
20260108T142500,0.618,0.618,0.618,0.618,2000
20260108T143000,0.618,0.619,0.618,0.619,86100
20260108T143500,0.619,0.620,0.619,0.619,10200
20260108T144500,0.619,0.620,0.619,0.620,9500
20260108T145000,0.620,0.620,0.620,0.620,10000
20260108T145500,0.619,0.619,0.619,0.619,132700
20260108T150000,0.619,0.619,0.619,0.619,3800
20260109T093500,0.617,0.623,0.617,0.623,76200
20260109T094000,0.623,0.623,0.621,0.622,41300
20260109T094500,0.621,0.623,0.621,0.623,265198
20260109T095000,0.624,0.626,0.623,0.625,156200
20260109T095500,0.625,0.626,0.625,0.626,155300
20260109T100000,0.626,0.626,0.625,0.625,29700
20260109T100500,0.625,0.625,0.625,0.625,16000
20260109T101000,0.624,0.624,0.623,0.624,76100
20260109T101500,0.624,0.624,0.624,0.624,86400
20260109T102000,0.623,0.623,0.623,0.623,20000
20260109T102500,0.623,0.623,0.623,0.623,100
20260109T103000,0.623,0.625,0.622,0.625,172400
20260109T103500,0.625,0.625,0.624,0.624,205300
20260109T104000,0.624,0.624,0.624,0.624,30000
20260109T104500,0.625,0.625,0.625,0.625,136700
20260109T105000,0.625,0.625,0.625,0.625,100
20260109T105500,0.626,0.626,0.626,0.626,118900
20260109T110000,0.627,0.627,0.625,0.625,7100
20260109T110500,0.625,0.625,0.624,0.624,217700
20260109T111000,0.623,0.623,0.622,0.623,14500
20260109T111500,0.623,0.624,0.623,0.624,73300
20260109T112000,0.624,0.624,0.623,0.623,90000
20260109T112500,0.623,0.623,0.621,0.621,15800
20260109T113000,0.621,0.621,0.620,0.620,53500
20260109T130500,0.620,0.622,0.620,0.620,13900
20260109T131000,0.621,0.621,0.621,0.621,62000
20260109T131500,0.622,0.622,0.622,0.622,100
20260109T132500,0.622,0.623,0.622,0.623,7100
20260109T133000,0.624,0.625,0.624,0.625,12400
20260109T133500,0.626,0.626,0.626,0.626,27300
20260109T134000,0.627,0.627,0.626,0.626,138400
20260109T134500,0.627,0.627,0.627,0.627,65100
20260109T135000,0.627,0.627,0.626,0.626,42500
20260109T135500,0.626,0.627,0.626,0.626,27600
20260109T140500,0.627,0.627,0.627,0.627,5000
20260109T142000,0.627,0.627,0.626,0.626,141900
20260109T142500,0.626,0.626,0.626,0.626,800
20260109T143000,0.627,0.628,0.627,0.628,133200
20260109T143500,0.628,0.628,0.627,0.628,117000
20260109T144000,0.628,0.628,0.628,0.628,12000
20260109T144500,0.629,0.630,0.628,0.628,165200
20260109T145000,0.629,0.629,0.629,0.629,28500
20260109T145500,0.629,0.629,0.629,0.629,11000
20260109T150000,0.628,0.630,0.628,0.630,29900
20260112T093500,0.628,0.632,0.628,0.630,514700
20260112T094000,0.630,0.630,0.626,0.626,510300
20260112T094500,0.628,0.629,0.628,0.629,235700
20260112T095000,0.629,0.629,0.629,0.629,77800
20260112T095500,0.630,0.630,0.630,0.630,14400
20260112T100000,0.629,0.630,0.629,0.630,2200
20260112T101500,0.630,0.631,0.630,0.631,105500
20260112T102000,0.631,0.631,0.631,0.631,10000
20260112T102500,0.630,0.630,0.629,0.629,20700
20260112T103000,0.629,0.629,0.628,0.628,302700
