Time,Open,High,Low,Close,Vol
20250113T093500,1.261,1.273,1.261,1.273,20400
20250113T094000,1.273,1.274,1.266,1.274,23700
20250113T094500,1.274,1.274,1.274,1.274,500
20250113T095000,1.278,1.278,1.269,1.278,12200
20250113T100000,1.277,1.277,1.277,1.277,100
20250113T101000,1.274,1.274,1.273,1.273,200
20250113T101500,1.267,1.267,1.266,1.266,377100
20250113T102000,1.265,1.265,1.265,1.265,500
20250113T105000,1.268,1.268,1.268,1.268,209200
20250113T105500,1.271,1.277,1.271,1.277,157900
20250113T110500,1.269,1.269,1.269,1.269,62500
20250113T111500,1.266,1.266,1.266,1.266,1400
20250113T112500,1.274,1.274,1.274,1.274,100
20250113T131000,1.274,1.274,1.274,1.274,2000
20250113T131500,1.266,1.266,1.266,1.266,2800
20250113T132000,1.274,1.274,1.274,1.274,400
20250113T134000,1.266,1.274,1.266,1.274,1500
20250113T140000,1.266,1.274,1.265,1.274,118600
20250113T140500,1.273,1.274,1.265,1.274,4000
20250113T141000,1.274,1.274,1.274,1.274,1100
20250113T142500,1.264,1.272,1.264,1.272,5100
20250113T144500,1.271,1.274,1.271,1.274,2100
20250113T145500,1.273,1.273,1.273,1.273,100
20250113T150000,1.273,1.274,1.265,1.274,8600
20250114T094000,1.272,1.272,1.266,1.266,1000
20250114T094500,1.272,1.273,1.272,1.273,10300
20250114T095000,1.266,1.274,1.266,1.274,12900
20250114T100000,1.269,1.274,1.269,1.274,25100
20250114T101500,1.274,1.274,1.274,1.274,98500
20250114T102500,1.275,1.275,1.275,1.275,18400
20250114T103000,1.275,1.275,1.275,1.275,15000
20250114T103500,1.275,1.283,1.275,1.283,1300
20250114T104000,1.281,1.281,1.281,1.281,1100
20250114T104500,1.275,1.275,1.274,1.274,16900
20250114T105000,1.278,1.278,1.278,1.278,15300
20250114T110000,1.282,1.283,1.282,1.283,5400
20250114T110500,1.278,1.278,1.278,1.278,2000
20250114T111000,1.278,1.278,1.278,1.278,2200
20250114T111500,1.284,1.284,1.280,1.280,12000
20250114T112000,1.281,1.281,1.281,1.281,1800
20250114T112500,1.281,1.281,1.281,1.281,600
20250114T130500,1.281,1.283,1.281,1.283,300
20250114T131000,1.283,1.283,1.283,1.283,1000
20250114T131500,1.287,1.287,1.287,1.287,1000
20250114T132500,1.285,1.285,1.285,1.285,400
20250114T133000,1.283,1.283,1.283,1.283,2000
20250114T133500,1.283,1.283,1.283,1.283,19500
20250114T134000,1.282,1.283,1.282,1.283,1500
20250114T135000,1.284,1.284,1.284,1.284,1000
20250114T135500,1.282,1.282,1.282,1.282,10000
20250114T140000,1.287,1.287,1.287,1.287,1100
20250114T140500,1.287,1.287,1.287,1.287,400
20250114T141000,1.287,1.287,1.287,1.287,15600
20250114T141500,1.288,1.288,1.288,1.288,2000
20250114T142000,1.288,1.288,1.288,1.288,2000
20250114T142500,1.288,1.288,1.288,1.288,400
20250114T143000,1.286,1.286,1.286,1.286,21600
20250114T143500,1.285,1.285,1.285,1.285,1400
20250114T144000,1.283,1.283,1.282,1.282,10500
20250114T144500,1.283,1.283,1.283,1.283,700
20250114T145000,1.283,1.283,1.283,1.283,30000
20250114T145500,1.285,1.292,1.285,1.288,1004500
20250114T150000,1.288,1.288,1.288,1.288,15200
20250115T093500,1.297,1.297,1.269,1.287,7100
20250115T094000,1.286,1.288,1.279,1.288,6600
20250115T094500,1.288,1.288,1.285,1.285,12100
20250115T095000,1.285,1.295,1.285,1.295,13100
20250115T095500,1.294,1.294,1.290,1.290,4700
20250115T100000,1.290,1.290,1.286,1.286,16800
20250115T100500,1.290,1.294,1.290,1.291,1067600
20250115T101000,1.289,1.289,1.289,1.289,40700
20250115T103000,1.289,1.289,1.289,1.289,10000
20250115T104000,1.289,1.289,1.289,1.289,53900
20250115T110500,1.289,1.289,1.289,1.289,11000
20250115T111000,1.290,1.290,1.290,1.290,2000
20250115T130500,1.288,1.288,1.288,1.288,12000
20250115T131500,1.288,1.288,1.288,1.288,10000
20250115T132000,1.289,1.289,1.289,1.289,4400
20250115T132500,1.289,1.289,1.289,1.289,4400
20250115T134500,1.289,1.289,1.289,1.289,1000
20250115T135500,1.289,1.289,1.289,1.289,800
20250115T140000,1.288,1.288,1.288,1.288,165200
20250115T143000,1.284,1.284,1.284,1.284,242100
20250115T144000,1.281,1.281,1.281,1.281,5700
20250115T145000,1.284,1.284,1.281,1.281,400
20250115T150000,1.282,1.282,1.282,1.282,208600
20250116T093500,1.295,1.295,1.295,1.295,15000
20250116T094000,1.287,1.293,1.287,1.293,639200
20250116T094500,1.295,1.295,1.295,1.295,800
20250116T095000,1.295,1.295,1.295,1.295,10000
20250116T095500,1.291,1.295,1.291,1.295,2000
20250116T100000,1.295,1.295,1.295,1.295,9000
20250116T100500,1.294,1.294,1.294,1.294,3300
20250116T104000,1.291,1.291,1.291,1.291,20000
20250116T104500,1.290,1.290,1.290,1.290,330300
20250116T105500,1.290,1.290,1.290,1.290,100
20250116T111000,1.290,1.290,1.290,1.290,4400
20250116T112000,1.287,1.287,1.287,1.287,1400
20250116T131000,1.287,1.287,1.287,1.287,1400
20250116T131500,1.281,1.282,1.281,1.282,167200
20250116T133000,1.283,1.283,1.283,1.283,3100
20250116T134500,1.288,1.288,1.288,1.288,6100
20250116T140000,1.283,1.283,1.283,1.283,1000
20250116T142000,1.283,1.283,1.283,1.283,152200
20250116T143500,1.284,1.284,1.284,1.284,3000
20250116T144500,1.284,1.284,1.284,1.284,1300
20250116T145500,1.287,1.287,1.287,1.287,20000
20250116T150000,1.288,1.288,1.288,1.288,14200
20250117T093500,1.287,1.287,1.286,1.286,2000
20250117T094000,1.285,1.285,1.285,1.285,5000
20250117T095000,1.285,1.285,1.285,1.285,3000
20250117T095500,1.285,1.288,1.285,1.288,1800
20250117T100000,1.285,1.287,1.285,1.287,66200
20250117T100500,1.289,1.295,1.289,1.295,12900
20250117T101000,1.296,1.296,1.296,1.296,7000
20250117T102000,1.294,1.294,1.294,1.294,8800
20250117T102500,1.295,1.295,1.295,1.295,39400
20250117T103000,1.296,1.296,1.296,1.296,39000
20250117T105500,1.289,1.289,1.289,1.289,16700
20250117T110000,1.293,1.293,1.293,1.293,300
20250117T111000,1.294,1.294,1.294,1.294,6800
20250117T132000,1.290,1.290,1.290,1.290,400
20250117T133500,1.296,1.296,1.296,1.296,100
20250117T135000,1.291,1.291,1.291,1.291,5000
20250117T142500,1.290,1.290,1.290,1.290,3900
20250117T143000,1.294,1.294,1.294,1.294,100
20250117T145000,1.290,1.290,1.290,1.290,9600
20250117T145500,1.290,1.290,1.288,1.290,300
20250120T093500,1.288,1.296,1.288,1.296,7500
20250120T094000,1.296,1.296,1.296,1.296,1200
20250120T094500,1.296,1.296,1.296,1.296,7500
20250120T095500,1.299,1.300,1.299,1.300,11300
20250120T100000,1.295,1.295,1.294,1.294,3800
20250120T100500,1.293,1.293,1.292,1.292,50100
20250120T101500,1.291,1.291,1.290,1.290,33000
20250120T102500,1.292,1.292,1.292,1.292,2300
20250120T105500,1.292,1.295,1.292,1.295,5800
20250120T110500,1.291,1.291,1.291,1.291,1000
20250120T111000,1.291,1.291,1.291,1.291,2200
20250120T130500,1.295,1.295,1.295,1.295,500
20250120T133500,1.291,1.291,1.291,1.291,100
20250120T134000,1.291,1.291,1.291,1.291,7600
20250120T135000,1.291,1.291,1.291,1.291,22300
20250120T135500,1.290,1.294,1.290,1.294,1500
20250120T140500,1.290,1.294,1.290,1.294,30100
20250120T141000,1.290,1.290,1.290,1.290,37100
20250120T142000,1.290,1.290,1.290,1.290,5000
20250120T142500,1.290,1.290,1.290,1.290,9200
20250120T145000,1.290,1.290,1.290,1.290,100
20250120T145500,1.289,1.289,1.289,1.289,100
20250120T150000,1.291,1.291,1.291,1.291,4200
20250121T093500,1.292,1.292,1.290,1.290,26700
20250121T094000,1.284,1.284,1.284,1.284,50000
20250121T094500,1.286,1.286,1.285,1.285,5500
20250121T095000,1.285,1.285,1.285,1.285,4700
20250121T095500,1.283,1.283,1.282,1.282,7700
20250121T100000,1.283,1.283,1.283,1.283,10000
20250121T101500,1.283,1.283,1.283,1.283,200
20250121T102500,1.283,1.283,1.283,1.283,25000
20250121T105500,1.283,1.283,1.283,1.283,31000
20250121T110500,1.285,1.285,1.285,1.285,200
20250121T112500,1.286,1.286,1.286,1.286,13600
20250121T132000,1.286,1.286,1.285,1.285,3100
20250121T133000,1.286,1.286,1.283,1.283,1000
20250121T134000,1.285,1.285,1.284,1.284,1100
20250121T140000,1.284,1.284,1.284,1.284,2100
20250121T143500,1.283,1.283,1.282,1.282,15700
20250121T145000,1.282,1.282,1.282,1.282,400
20250121T145500,1.282,1.282,1.282,1.282,7500
20250121T150000,1.282,1.282,1.282,1.282,4700
20250122T093500,1.276,1.276,1.276,1.276,100
20250122T094000,1.276,1.276,1.276,1.276,4600
20250122T094500,1.277,1.279,1.274,1.274,21500
20250122T095000,1.274,1.274,1.273,1.273,3400
20250122T100000,1.269,1.269,1.267,1.269,53700
20250122T101000,1.269,1.269,1.267,1.267,10000
20250122T101500,1.267,1.267,1.267,1.267,5000
20250122T102000,1.267,1.269,1.267,1.269,5400
20250122T102500,1.269,1.269,1.269,1.269,15700
20250122T103000,1.268,1.268,1.268,1.268,300
20250122T103500,1.269,1.269,1.269,1.269,1300
20250122T104000,1.269,1.269,1.269,1.269,1300
20250122T110000,1.269,1.269,1.269,1.269,900
20250122T130500,1.269,1.269,1.269,1.269,7400
20250122T131500,1.268,1.268,1.268,1.268,1300
20250122T133000,1.268,1.268,1.268,1.268,8500
20250122T133500,1.267,1.267,1.267,1.267,8400
20250122T134000,1.269,1.269,1.267,1.267,10900
20250122T135000,1.266,1.266,1.266,1.266,50000
20250122T142000,1.267,1.267,1.267,1.267,600
20250122T142500,1.266,1.266,1.266,1.266,5600
20250122T143000,1.266,1.266,1.266,1.266,2300
20250122T150000,1.268,1.268,1.268,1.268,7100
20250123T093500,1.269,1.283,1.269,1.283,4900
20250123T094000,1.280,1.287,1.280,1.287,55300
20250123T094500,1.289,1.289,1.289,1.289,77500
20250123T095000,1.289,1.289,1.281,1.281,170600
20250123T100000,1.281,1.287,1.281,1.287,30500
20250123T100500,1.285,1.285,1.280,1.280,14100
20250123T101000,1.280,1.284,1.280,1.284,11700
20250123T101500,1.280,1.280,1.280,1.280,200
20250123T102000,1.282,1.283,1.282,1.283,10700
20250123T102500,1.284,1.284,1.282,1.282,2700
20250123T103000,1.281,1.281,1.281,1.281,63200
20250123T103500,1.285,1.285,1.285,1.285,2500
20250123T104000,1.281,1.281,1.281,1.281,200
20250123T105000,1.285,1.285,1.285,1.285,27000
20250123T105500,1.280,1.280,1.280,1.280,100
20250123T110500,1.280,1.280,1.280,1.280,14400
20250123T111500,1.278,1.278,1.278,1.278,8100
20250123T112000,1.278,1.278,1.278,1.278,2200
20250123T130500,1.280,1.280,1.280,1.280,4900
20250123T131000,1.284,1.284,1.284,1.284,1500
20250123T133500,1.280,1.280,1.280,1.280,2000
20250123T140000,1.278,1.278,1.278,1.278,10000
20250123T140500,1.279,1.279,1.279,1.279,2700
20250123T141000,1.279,1.279,1.279,1.279,8700
20250123T141500,1.281,1.281,1.278,1.281,5200
20250123T142000,1.278,1.278,1.278,1.278,700
20250123T142500,1.277,1.277,1.277,1.277,3600
20250123T144000,1.277,1.277,1.277,1.277,1400
20250123T145000,1.277,1.277,1.275,1.275,5900
20250123T150000,1.277,1.277,1.277,1.277,100
20250124T093500,1.274,1.274,1.269,1.269,78000
20250124T094000,1.269,1.280,1.269,1.280,37200
20250124T095500,1.278,1.278,1.278,1.278,5000
20250124T100500,1.282,1.282,1.282,1.282,800
20250124T103000,1.282,1.282,1.280,1.280,65200
20250124T104000,1.278,1.278,1.278,1.278,66400
20250124T104500,1.278,1.278,1.278,1.278,3400
20250124T105500,1.280,1.280,1.280,1.280,26000
20250124T110000,1.280,1.283,1.278,1.278,24400
20250124T111000,1.283,1.283,1.283,1.283,25000
20250124T112500,1.282,1.282,1.282,1.282,400
20250124T130500,1.284,1.284,1.281,1.281,900
20250124T132500,1.282,1.282,1.282,1.282,3300
20250124T134500,1.280,1.280,1.280,1.280,800
20250124T135000,1.284,1.284,1.284,1.284,100
20250124T141000,1.280,1.280,1.280,1.280,1000
20250124T143000,1.281,1.281,1.280,1.280,9000
20250124T144000,1.283,1.283,1.283,1.283,200
20250124T145000,1.280,1.280,1.280,1.280,1000
20250124T145500,1.282,1.282,1.282,1.282,2000
20250124T150000,1.281,1.281,1.281,1.281,300
20250127T093500,1.282,1.290,1.282,1.290,31200
20250127T094000,1.290,1.293,1.290,1.293,38300
