Time,Open,High,Low,Close,Vol
20250113T093500,0.770,0.772,0.770,0.772,1641300
20250113T094000,0.772,0.775,0.772,0.774,571600
20250113T094500,0.774,0.774,0.772,0.772,1239900
20250113T095000,0.772,0.774,0.772,0.773,440300
20250113T095500,0.774,0.774,0.773,0.773,320300
20250113T100000,0.774,0.774,0.772,0.772,590000
20250113T100500,0.773,0.773,0.773,0.773,23500
20250113T101000,0.772,0.772,0.772,0.772,12000
20250113T101500,0.771,0.772,0.769,0.770,219900
20250113T102000,0.769,0.771,0.768,0.771,808500
20250113T102500,0.771,0.771,0.771,0.771,422000
20250113T103000,0.771,0.771,0.771,0.771,210000
20250113T103500,0.771,0.772,0.771,0.772,571600
20250113T104000,0.772,0.772,0.771,0.771,5200
20250113T104500,0.773,0.773,0.773,0.773,500
20250113T105000,0.773,0.774,0.773,0.774,502900
20250113T105500,0.774,0.774,0.773,0.773,433100
20250113T110000,0.774,0.774,0.774,0.774,537300
20250113T110500,0.774,0.774,0.774,0.774,500
20250113T111000,0.773,0.773,0.773,0.773,52800
20250113T112500,0.772,0.772,0.772,0.772,800000
20250113T113000,0.771,0.771,0.771,0.771,694300
20250113T130500,0.772,0.772,0.770,0.770,369800
20250113T131000,0.770,0.770,0.770,0.770,739800
20250113T132000,0.771,0.771,0.771,0.771,10000
20250113T132500,0.771,0.771,0.771,0.771,1900
20250113T133000,0.772,0.772,0.770,0.770,1225600
20250113T133500,0.771,0.771,0.771,0.771,350000
20250113T134000,0.770,0.771,0.770,0.770,1010000
20250113T134500,0.770,0.771,0.770,0.770,630500
20250113T135500,0.771,0.771,0.771,0.771,299400
20250113T140000,0.772,0.772,0.772,0.772,80000
20250113T140500,0.772,0.772,0.771,0.771,600000
20250113T141000,0.771,0.771,0.771,0.771,12000
20250113T141500,0.770,0.771,0.770,0.771,62900
20250113T142500,0.771,0.771,0.770,0.771,28200
20250113T143500,0.770,0.770,0.770,0.770,260700
20250113T144000,0.770,0.770,0.770,0.770,50000
20250113T144500,0.770,0.770,0.770,0.770,14300
20250113T145000,0.770,0.772,0.770,0.771,650400
20250113T145500,0.771,0.772,0.771,0.771,22300
20250113T150000,0.773,0.773,0.773,0.773,4000
20250114T093500,0.773,0.773,0.772,0.773,575600
20250114T094000,0.772,0.772,0.772,0.772,266900
20250114T094500,0.773,0.774,0.773,0.774,351500
20250114T095000,0.774,0.774,0.773,0.773,409100
20250114T095500,0.774,0.776,0.774,0.775,78400
20250114T100000,0.776,0.778,0.776,0.776,629700
20250114T100500,0.777,0.778,0.777,0.777,1264100
20250114T101000,0.776,0.777,0.776,0.777,548800
20250114T101500,0.776,0.779,0.776,0.778,326600
20250114T102000,0.779,0.779,0.779,0.779,378300
20250114T102500,0.779,0.780,0.779,0.780,115800
20250114T103000,0.781,0.781,0.780,0.780,201300
20250114T103500,0.779,0.781,0.779,0.779,935300
20250114T104000,0.779,0.780,0.779,0.779,490000
20250114T104500,0.778,0.779,0.778,0.779,15000
20250114T105000,0.779,0.780,0.779,0.780,1024000
20250114T105500,0.781,0.783,0.781,0.782,232800
20250114T110000,0.782,0.783,0.782,0.783,780700
20250114T110500,0.783,0.785,0.783,0.785,1115500
20250114T111000,0.785,0.786,0.784,0.785,2430900
20250114T111500,0.785,0.787,0.785,0.787,1848300
