Time,Open,High,Low,Close,Vol
20250113T093500,0.779,0.779,0.777,0.777,2300
20250113T094000,0.780,0.780,0.780,0.780,6200
20250113T095500,0.782,0.782,0.782,0.782,100
20250113T101000,0.779,0.779,0.779,0.779,2000
20250113T102000,0.777,0.777,0.777,0.777,2900
20250113T132000,0.779,0.779,0.779,0.779,2500
20250113T145000,0.778,0.778,0.778,0.778,40000
20250114T095000,0.785,0.785,0.785,0.785,200
20250114T103000,0.790,0.790,0.790,0.790,2600
20250114T103500,0.789,0.789,0.789,0.789,100
20250114T104000,0.791,0.791,0.791,0.791,600
20250114T105500,0.791,0.791,0.791,0.791,1700
20250114T111000,0.794,0.794,0.794,0.794,400
20250114T111500,0.796,0.796,0.796,0.796,3500
20250114T135500,0.798,0.798,0.798,0.798,260000
20250114T140500,0.800,0.800,0.800,0.800,3500
20250114T141000,0.802,0.802,0.802,0.802,256500
20250114T141500,0.799,0.799,0.799,0.799,100
20250115T133500,0.796,0.796,0.796,0.796,1000
20250115T144000,0.796,0.796,0.796,0.796,400
20250115T150000,0.795,0.795,0.795,0.795,30000
20250116T093500,0.802,0.802,0.802,0.802,300
20250116T095000,0.806,0.806,0.806,0.806,200
20250116T101000,0.804,0.804,0.804,0.804,4700
20250116T101500,0.803,0.803,0.803,0.803,1200
20250116T102000,0.804,0.804,0.804,0.804,7600
20250116T102500,0.804,0.804,0.804,0.804,6000
20250116T103500,0.804,0.804,0.804,0.804,10000
20250116T130500,0.801,0.801,0.800,0.800,2200
20250116T131000,0.797,0.797,0.797,0.797,100
20250116T135000,0.797,0.797,0.797,0.797,30000
20250116T140000,0.797,0.797,0.797,0.797,4500
20250117T095000,0.798,0.798,0.798,0.798,50000
20250117T102500,0.802,0.802,0.802,0.802,100
20250117T105000,0.799,0.799,0.799,0.799,10000
20250117T111000,0.799,0.799,0.799,0.799,500
20250117T133000,0.804,0.804,0.804,0.804,200
20250117T133500,0.804,0.804,0.804,0.804,1500
20250117T135000,0.802,0.802,0.802,0.802,100
20250117T140500,0.803,0.803,0.803,0.803,50000
20250117T141000,0.804,0.804,0.804,0.804,20000
20250120T093500,0.801,0.812,0.801,0.812,2900
20250120T094000,0.812,0.812,0.812,0.812,100
20250120T100000,0.813,0.813,0.813,0.813,8000
20250120T100500,0.812,0.813,0.812,0.813,2100
20250120T103500,0.815,0.816,0.815,0.816,520000
20250120T110000,0.812,0.812,0.812,0.812,20300
20250120T112000,0.814,0.814,0.814,0.814,100
20250120T130500,0.814,0.814,0.814,0.814,1000
20250120T132000,0.814,0.814,0.814,0.814,30000
20250120T145000,0.812,0.812,0.812,0.812,100
20250121T143500,0.811,0.811,0.811,0.811,100
20250121T145000,0.811,0.811,0.811,0.811,100
20250122T100000,0.803,0.803,0.803,0.803,400
20250122T100500,0.800,0.800,0.800,0.800,4000
20250122T101000,0.800,0.800,0.800,0.800,20000
20250122T102000,0.802,0.802,0.802,0.802,10000
20250122T132500,0.801,0.801,0.801,0.801,8000
20250122T144500,0.801,0.801,0.801,0.801,1000
20250123T093500,0.809,0.809,0.809,0.809,200
20250123T094000,0.809,0.809,0.809,0.809,100400
20250123T095500,0.812,0.812,0.812,0.812,100
20250123T101000,0.808,0.808,0.808,0.808,20000
20250123T111500,0.807,0.807,0.807,0.807,20100
20250123T112500,0.806,0.806,0.806,0.806,100
20250123T130500,0.808,0.808,0.808,0.808,105000
20250123T140500,0.804,0.804,0.804,0.804,10000
20250123T141000,0.804,0.804,0.804,0.804,73100
20250123T145000,0.801,0.801,0.801,0.801,4000
20250124T100500,0.809,0.809,0.809,0.809,200
20250124T101000,0.809,0.809,0.809,0.809,6600
20250124T110500,0.813,0.813,0.811,0.811,8100
20250124T111000,0.812,0.812,0.812,0.812,1300
20250124T111500,0.810,0.810,0.810,0.810,100
20250124T112000,0.811,0.811,0.811,0.811,1200
20250124T135500,0.810,0.810,0.810,0.810,13600
20250124T143000,0.812,0.812,0.812,0.812,100000
20250124T145500,0.812,0.812,0.812,0.812,1800
20250127T093500,0.813,0.813,0.813,0.813,6700
20250127T094000,0.814,0.816,0.814,0.816,5830000
20250127T095000,0.817,0.817,0.817,0.817,3200
20250127T100000,0.815,0.815,0.815,0.815,200
20250127T111000,0.814,0.814,0.814,0.814,8400
20250127T135500,0.815,0.815,0.815,0.815,600
20250127T140000,0.816,0.816,0.816,0.816,400
20250127T150000,0.813,0.813,0.813,0.813,4800
20250205T093500,0.813,0.813,0.813,0.813,84000
20250205T095000,0.819,0.819,0.819,0.819,700
20250205T101000,0.814,0.814,0.814,0.814,100000
20250205T101500,0.816,0.816,0.816,0.816,600
20250205T102000,0.818,0.818,0.818,0.818,500
20250205T102500,0.818,0.818,0.818,0.818,299500
20250205T110000,0.820,0.820,0.820,0.820,101000
20250205T110500,0.820,0.820,0.820,0.820,113000
20250205T111000,0.821,0.821,0.819,0.819,2100
20250205T112000,0.821,0.821,0.821,0.821,100
