Time,Open,High,Low,Close,Vol
20250113T093500,0.713,0.714,0.708,0.710,4984000
20250113T094000,0.710,0.712,0.709,0.709,3288600
20250113T094500,0.709,0.712,0.707,0.711,4288600
20250113T095000,0.711,0.714,0.710,0.714,1025000
20250113T095500,0.715,0.719,0.715,0.718,3722500
20250113T100000,0.718,0.719,0.716,0.718,2048200
20250113T100500,0.719,0.720,0.718,0.719,1190300
20250113T101000,0.719,0.721,0.719,0.720,2124400
20250113T101500,0.720,0.723,0.719,0.719,1535800
20250113T102000,0.720,0.726,0.720,0.725,4451500
20250113T102500,0.724,0.725,0.722,0.722,1218800
20250113T103000,0.722,0.723,0.722,0.723,129500
20250113T103500,0.722,0.723,0.721,0.722,342200
20250113T104000,0.722,0.724,0.722,0.723,242200
20250113T104500,0.722,0.724,0.722,0.724,423400
20250113T105000,0.724,0.727,0.724,0.727,1734200
20250113T105500,0.727,0.727,0.724,0.724,1895300
20250113T110000,0.723,0.724,0.722,0.722,1015200
20250113T110500,0.722,0.723,0.721,0.723,187300
20250113T111000,0.723,0.723,0.722,0.722,184400
20250113T111500,0.722,0.722,0.721,0.721,285800
20250113T112000,0.720,0.721,0.720,0.720,23200
20250113T112500,0.721,0.722,0.721,0.722,129900
20250113T113000,0.721,0.721,0.717,0.717,1221500
20250113T130500,0.718,0.718,0.716,0.717,996300
20250113T131000,0.716,0.718,0.716,0.717,357300
20250113T131500,0.717,0.717,0.716,0.716,1038900
20250113T132000,0.716,0.717,0.716,0.717,1822800
20250113T132500,0.717,0.719,0.716,0.718,674880
20250113T133000,0.717,0.719,0.716,0.717,742900
20250113T133500,0.717,0.718,0.717,0.718,820800
20250113T134000,0.717,0.718,0.716,0.716,443200
20250113T134500,0.717,0.719,0.717,0.718,260100
20250113T135000,0.717,0.718,0.717,0.717,234100
20250113T135500,0.717,0.719,0.717,0.719,1155000
20250113T140000,0.719,0.721,0.719,0.721,652100
20250113T140500,0.721,0.722,0.719,0.720,1478700
20250113T141000,0.719,0.719,0.717,0.719,932800
20250113T141500,0.718,0.719,0.717,0.717,771500
20250113T142000,0.716,0.717,0.716,0.717,637500
20250113T142500,0.717,0.717,0.716,0.717,481900
20250113T143000,0.718,0.718,0.717,0.717,408600
20250113T143500,0.717,0.718,0.717,0.718,132700
20250113T144000,0.717,0.718,0.716,0.717,118000
20250113T144500,0.717,0.717,0.715,0.716,210000
20250113T145000,0.717,0.719,0.715,0.718,494900
20250113T145500,0.718,0.718,0.716,0.718,1148900
20250113T150000,0.719,0.719,0.718,0.719,827600
20250114T093500,0.718,0.722,0.718,0.718,2682600
20250114T094000,0.718,0.719,0.716,0.718,2500000
20250114T094500,0.718,0.721,0.718,0.721,1207900
20250114T095000,0.721,0.721,0.719,0.720,1430100
20250114T095500,0.721,0.724,0.721,0.724,2014000
20250114T100000,0.725,0.727,0.725,0.727,4846600
20250114T100500,0.726,0.727,0.726,0.726,763200
20250114T101000,0.726,0.727,0.725,0.725,769800
20250114T101500,0.725,0.728,0.724,0.728,1560900
20250114T102000,0.728,0.730,0.727,0.728,820500
20250114T102500,0.728,0.730,0.728,0.730,680400
